host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2018-04-26,Areeiro,38.74004,-9.13228,Private room,1,45.0,7,30,0,0,7,7,3,2022-07-08,2022-08-29,4.43,5.0,34,3.04,1598.0,2.0,0,0,0,0,68.0,0-6 months,16.0,2-8 weeks
2022-03-18,Misericrdia,38.707458,-9.142836,Private room,3,154.0,1,365,2,139,4,4,0,2022-04-17,2022-07-12,4.5,5.0,10,0.79,176.0,1.0,1,1,0,0,150.0,0-6 months,64.0,2-6 months
2018-04-26,Areeiro,38.73914,-9.13264,Private room,2,55.0,7,30,0,0,4,4,3,2022-08-12,2022-08-29,4.0,5.0,34,3.53,1598.0,2.0,0,0,0,0,33.0,0-6 months,16.0,2-8 weeks
2018-04-26,Areeiro,38.73893,-9.13242,Private room,2,45.0,7,30,0,0,4,4,2,2022-07-23,2022-08-29,3.5,3.5,34,2.22,1598.0,2.0,0,0,0,0,53.0,0-6 months,16.0,2-8 weeks
2017-07-20,Vila Franca de Xira,38.952927,-8.988171,Private room,2,40.0,1,365,0,326,18,18,3,2022-04-12,2022-09-08,4.44,4.22,10,3.48,1878.0,2.0,0,1,0,0,155.0,0-6 months,6.0,0-2 weeks
2022-04-08,Arroios,38.73157,-9.14324,Entire home/apt,6,210.0,2,365,9,321,13,13,0,2022-04-27,2022-08-05,4.85,4.38,11,2.77,155.0,2.0,1,1,0,1,140.0,0-6 months,40.0,2-8 weeks
2016-03-30,Santa Maria Maior,38.712833,-9.138462,Entire home/apt,5,173.0,2,1125,2,104,40,40,8,2022-04-13,2022-09-09,4.93,5.0,16,7.74,2355.0,1.0,0,1,1,1,154.0,0-6 months,5.0,0-2 weeks
2013-06-15,Penha de Frana,38.73033,-9.12885,Entire home/apt,6,110.0,4,365,2,22,11,11,2,2022-05-31,2022-09-10,4.91,4.55,2,3.08,3374.0,1.0,0,1,1,0,106.0,0-6 months,4.0,0-2 weeks
2011-10-10,Cascais e Estoril,38.70773,-9.41797,Private room,2,60.0,2,365,25,358,1,1,0,2022-08-01,2022-08-01,5.0,4.0,12,0.67,3988.0,1.0,0,1,0,0,44.0,0-6 months,44.0,2-8 weeks
2011-10-10,Cascais e Estoril,38.70997,-9.41799,Private room,3,74.0,4,365,19,352,3,3,1,2022-04-01,2022-08-23,5.0,4.67,12,0.54,3988.0,1.0,0,1,0,0,166.0,0-6 months,22.0,2-8 weeks
