host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating
2012-04-29,Lourinh e Atalaia,39.270321,-9.331069,Entire home/apt,5,100.0,5,270,10,10,11,5,0,2012-07-30,2022-08-13,4.91,4.64,1,0.09,1.5,0,1,1,1
2011-08-31,Santa Maria Maior,38.71315,-9.12715,Entire home/apt,4,75.0,3,31,1,142,228,36,2,2012-08-08,2022-09-06,4.82,4.93,1,1.85,1.5,0,1,0,0
2011-09-07,Santa Maria Maior,38.71225,-9.12777,Entire home/apt,2,60.0,2,150,0,206,197,13,5,2011-09-27,2022-09-13,4.72,4.87,2,1.48,1.0,0,0,0,0
2011-09-04,Alvalade,38.74877,-9.1478,Private room,1,22.0,15,365,0,176,10,9,0,2020-12-22,2022-07-01,5.0,5.0,2,0.47,1.0,0,1,0,0
2012-04-29,Santa Maria Maior,38.71199,-9.12798,Entire home/apt,2,99.0,3,32,1,222,346,24,7,2012-06-09,2022-09-12,4.58,4.82,2,2.77,1.0,0,1,0,1
2012-04-26,Santa Maria Maior,38.71186,-9.12859,Entire home/apt,3,77.0,2,14,12,347,236,44,2,2012-05-26,2022-08-21,4.03,4.68,12,1.88,1.0,0,1,1,1
2012-02-18,Santa Maria Maior,38.71418,-9.13572,Entire home/apt,2,82.0,4,90,3,294,114,15,2,2012-04-23,2022-09-03,4.91,4.89,1,0.9,1.0,0,1,0,1
2012-04-26,So Vicente,38.7143,-9.13059,Entire home/apt,3,94.0,2,14,8,333,234,61,5,2013-04-23,2022-09-01,4.59,4.82,12,2.05,1.0,0,1,0,1
2011-09-11,Avenidas Novas,38.73513,-9.14904,Entire home/apt,4,75.0,2,1124,1,283,135,4,0,2012-03-21,2022-08-03,4.44,4.77,1,1.06,1.0,0,1,1,0
2011-12-03,Santo Antnio,38.72659,-9.14522,Entire home/apt,12,200.0,3,1125,0,171,5,0,0,2016-06-07,2017-11-01,4.8,5.0,7,0.07,2.0,0,1,0,1
2012-04-26,Santa Maria Maior,38.71191,-9.12864,Entire home/apt,3,92.0,2,14,0,325,278,69,2,2012-07-17,2022-08-24,4.49,4.79,12,2.25,1.0,1,1,1,1
2011-12-03,Santo Antnio,38.72488,-9.14511,Entire home/apt,10,189.0,3,1125,12,330,6,1,0,2012-10-02,2022-03-23,4.6,3.83,7,0.05,3.0,1,1,0,1
2012-04-26,Santa Maria Maior,38.71189,-9.12867,Entire home/apt,3,96.0,2,14,6,338,249,52,4,2013-05-09,2022-08-30,4.41,4.81,12,2.19,1.0,1,1,1,1
2011-12-03,Santo Antnio,38.72541,-9.14519,Entire home/apt,4,100.0,3,1125,0,265,6,2,0,2018-05-22,2022-08-10,4.0,4.67,7,0.11,1.0,0,1,0,1
2011-06-30,Igreja Nova e Cheleiros,38.88991,-9.31029,Entire home/apt,2,60.0,2,30,6,296,40,12,1,2013-01-02,2022-08-18,4.48,4.63,4,0.34,1.0,0,0,1,1
2012-04-26,Santa Maria Maior,38.71189,-9.12867,Entire home/apt,3,94.0,2,14,8,343,276,61,3,2012-08-05,2022-08-30,4.44,4.83,12,2.24,1.0,0,1,1,1
2012-04-22,Cascais e Estoril,38.69792,-9.4225,Private room,1,50.0,2,1125,4,333,59,18,1,2012-06-19,2022-09-02,4.93,4.9,2,0.47,1.0,0,0,0,1
2012-05-10,Belm,38.69735,-9.19489,Entire home/apt,4,68.0,4,60,2,98,128,13,1,2012-08-22,2022-08-26,4.72,4.52,4,1.04,1.0,0,1,0,1
